Office Name,Contest ID,Ballot Name,Choice ID,Party,Total
President of the United States,5000,Donald J. Trump (I) (Rep),1,REP,2461837
President of the United States,5000,Joseph R. Biden (Dem),2,DEM,2474507
President of the United States,5000,Jo Jorgensen (Lib),3,LIB,62138
President of the United States,5000,Total Votes,,,4998482
US Senate (Perdue),10000,David A. Perdue (I) (Rep),4,REP,2462617
US Senate (Perdue),10000,Jon Ossoff (Dem),5,DEM,2374519
US Senate (Perdue),10000,Shane Hazel (Lib),6,LIB,115039
US Senate (Perdue),10000,Total Votes,,,4952175
US Senate (Loeffler) - Special,10100,Al Bartell (Ind),7,IND,14640
US Senate (Loeffler) - Special,10100,Allen Buckley (Ind),8,IND,17954
US Senate (Loeffler) - Special,10100,Doug Collins (Rep),9,REP,980454
US Senate (Loeffler) - Special,10100,John Fortuin (Grn),10,GRN,15293
US Senate (Loeffler) - Special,10100,Derrick E. Grayson (Rep),11,REP,51592
US Senate (Loeffler) - Special,10100,Michael Todd Greene (Ind),12,IND,13293
US Senate (Loeffler) - Special,10100,Annette Davis Jackson (Rep),13,REP,44335
US Senate (Loeffler) - Special,10100,Deborah Jackson (Dem),14,DEM,324118
US Senate (Loeffler) - Special,10100,Jamesia James (Dem),15,DEM,94406
US Senate (Loeffler) - Special,10100,A. Wayne Johnson (Rep),16,REP,36176
US Senate (Loeffler) - Special,10100,Tamara Johnson-Shealey (Dem),17,DEM,106767
US Senate (Loeffler) - Special,10100,Matt Lieberman (Dem),18,DEM,136021
US Senate (Loeffler) - Special,10100,Kelly Loeffler (I) (Rep),19,REP,1273214
US Senate (Loeffler) - Special,10100,Joy Felicia Slade (Dem),20,DEM,44945
US Senate (Loeffler) - Special,10100,Brian Slowinski (Lib),21,LIB,35431
US Senate (Loeffler) - Special,10100,Valencia Stovall (Ind),22,IND,13318
US Senate (Loeffler) - Special,10100,Ed Tarver (Dem),23,DEM,26333
US Senate (Loeffler) - Special,10100,Kandiss Taylor (Rep),24,REP,40349
US Senate (Loeffler) - Special,10100,Raphael Warnock (Dem),25,DEM,1617035
US Senate (Loeffler) - Special,10100,Richard Dien Winfield (Dem),26,DEM,28687
US Senate (Loeffler) - Special,10100,Total Votes,,,4914361
Public Service Commission District 4,28400,"Lauren Bubba McDonald, Jr. (I) (Rep)",30,REP,2415248
Public Service Commission District 4,28400,Daniel Blackman (Dem),31,DEM,2272969
Public Service Commission District 4,28400,Nathan Wilson (Lib),32,LIB,151196
Public Service Commission District 4,28400,Total Votes,,,4839413
Public Service Commission District 1,28500,Jason Shaw (I) (Rep),27,REP,2445181
Public Service Commission District 1,28500,Robert G. Bryant (Dem),28,DEM,2255325
Public Service Commission District 1,28500,Elizabeth Melton (Lib),29,LIB,179011
Public Service Commission District 1,28500,Total Votes,,,4879517
US House District 1,30100,"Earl L. """"Buddy"""" Carter (I) (Rep)",33,REP,189457
US House District 1,30100,Joyce Marie Griggs (Dem),34,DEM,135238
US House District 1,30100,Total Votes,,,324695
US House District 2,30200,Don Cole (Rep),33,REP,111620
US House District 2,30200,Sanford Bishop (I) (Dem),34,DEM,161397
US House District 2,30200,Total Votes,,,273017
US House District 3,30300,Drew Ferguson (I) (Rep),33,REP,241526
US House District 3,30300,Val Almonord (Dem),34,DEM,129792
US House District 3,30300,Total Votes,,,371318
US House District 4,30400,Johsie Cruz Ezammudeen (Rep),33,REP,69393
US House District 4,30400,"Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)",34,DEM,278906
US House District 4,30400,Total Votes,,,348299
US House District 5,30500,Angela Stanton-King (Rep),33,REP,52646
US House District 5,30500,Nikema Williams (Dem),34,DEM,301857
US House District 5,30500,Total Votes,,,354503
US House District 6,30600,Karen Handel (Rep),33,REP,180329
US House District 6,30600,Lucy McBath (I) (Dem),34,DEM,216775
US House District 6,30600,Total Votes,,,397104
US House District 7,30700,Rich McCormick (Rep),33,REP,180564
US House District 7,30700,Carolyn Bourdeaux (Dem),34,DEM,190900
US House District 7,30700,Total Votes,,,371464
US House District 8,30800,Austin Scott (I) (Rep),33,REP,198701
US House District 8,30800,Lindsay Holliday (Dem),34,DEM,109264
US House District 8,30800,Total Votes,,,307965
US House District 9,30900,Andrew Clyde (Rep),33,REP,292750
US House District 9,30900,Devin Pandy (Dem),34,DEM,79797
US House District 9,30900,Total Votes,,,372547
US House District 10,31000,Jody Hice (I) (Rep),33,REP,235810
US House District 10,31000,Tabitha Johnson-Green (Dem),34,DEM,142636
US House District 10,31000,Total Votes,,,378446
US House District 11,31100,Barry Loudermilk (I) (Rep),33,REP,245259
US House District 11,31100,Dana Barrett (Dem),34,DEM,160623
US House District 11,31100,Total Votes,,,405882
US House District 12,31200,Rick W. Allen (I) (Rep),33,REP,181038
US House District 12,31200,Liz Johnson (Dem),34,DEM,129061
US House District 12,31200,Total Votes,,,310099
US House District 13,31300,Becky E. Hites (Rep),35,REP,81476
US House District 13,31300,David Scott (I) (Dem),36,DEM,279045
US House District 13,31300,Total Votes,,,360521
US House District 14,31400,Marjorie Taylor Greene (Rep),33,REP,229827
US House District 14,31400,Kevin Van Ausdal (Dem),34,DEM,77798
US House District 14,31400,Total Votes,,,307625
State Senate District 1,40100,Ben Watson (I) (Rep),35,REP,72192
State Senate District 1,40100,Total Votes,,,72192
State Senate District 2,40200,"Lester G. Jackson, III (I) (Dem)",37,DEM,62334
State Senate District 2,40200,Total Votes,,,62334
State Senate District 3,40300,Sheila McNeill (Rep),35,REP,63891
State Senate District 3,40300,Total Votes,,,63891
State Senate District 4,40400,Billy Hickman (I) (Rep),35,REP,65492
State Senate District 4,40400,Total Votes,,,65492
State Senate Dist 5/Senador Estatal Dist 5,40500,Sheikh Rahman (I) (Dem),39,DEM,44991
State Senate Dist 5/Senador Estatal Dist 5,40500,Total Votes,,,44991
State Senate District 6,40600,Harrison Lance (Rep),39,REP,38891
State Senate District 6,40600,"Jennifer """"Jen"""" Jordan (I) (Dem)",40,DEM,62148
State Senate District 6,40600,Total Votes,,,101039
State Senate District 7,40700,Tyler Harper (I) (Rep),35,REP,56433
State Senate District 7,40700,Total Votes,,,56433
State Senate District 8,40800,Russ Goodman (Rep),35,REP,43324
State Senate District 8,40800,Treva Gear (Dem),36,DEM,26819
State Senate District 8,40800,Total Votes,,,70143
State Senate Dist 9/Senador Estatal Dist 9,40900,"P. K. Martin, IV (I) (Rep)",40,REP,49879
State Senate Dist 9/Senador Estatal Dist 9,40900,Nikki Merritt (Dem),41,DEM,53941
State Senate Dist 9/Senador Estatal Dist 9,40900,Total Votes,,,103820
State Senate District 10,41000,Emanuel Jones (I) (Dem),39,DEM,84994
State Senate District 10,41000,Total Votes,,,84994
State Senate District 11,41100,Dean Burke (I) (Rep),35,REP,57018
State Senate District 11,41100,Total Votes,,,57018
State Senate District 12,41200,Tracy Taylor (Rep),35,REP,22546
State Senate District 12,41200,Freddie Powell Sims (I) (Dem),36,DEM,40396
State Senate District 12,41200,Total Votes,,,62942
State Senate District 13,41300,Carden H. Summers (I) (Rep),35,REP,48153
State Senate District 13,41300,Mary Egler (Dem),36,DEM,21178
State Senate District 13,41300,Total Votes,,,69331
State Senate District 14,41400,Bruce Thompson (I) (Rep),35,REP,66534
State Senate District 14,41400,Travis Johnson (Dem),36,DEM,28505
State Senate District 14,41400,Total Votes,,,95039
State Senate District 15,41500,Ed Harbison (I) (Dem),35,DEM,48998
State Senate District 15,41500,Total Votes,,,48998
State Senate District 16,41600,Marty Harbin (I) (Rep),37,REP,65626
State Senate District 16,41600,Cinquez Jester (Dem),38,DEM,30643
State Senate District 16,41600,Total Votes,,,96269
State Senate District 17,41700,Brian Strickland (I) (Rep),40,REP,52454
State Senate District 17,41700,Kelly Rose (Dem),41,DEM,50513
State Senate District 17,41700,Total Votes,,,102967
State Senate District 18,41800,John F. Kennedy (I) (Rep),37,REP,71209
State Senate District 18,41800,Total Votes,,,71209
State Senate District 19,41900,Blake Tillery (I) (Rep),35,REP,54197
State Senate District 19,41900,Total Votes,,,54197
State Senate District 20,42000,Larry Walker (I) (Rep),35,REP,57946
State Senate District 20,42000,Julius Newberry Johnson (Dem),36,DEM,31257
State Senate District 20,42000,Total Votes,,,89203
State Senate District 21,42100,Brandon Beach (I) (Rep),37,REP,94143
State Senate District 21,42100,Total Votes,,,94143
State Senate District 22,42200,"Harold V. Jones, II (I) (Dem)",35,DEM,60966
State Senate District 22,42200,Total Votes,,,60966
State Senate District 23,42300,Max Burns (Rep),35,REP,46712
State Senate District 23,42300,Ceretta Smith (Dem),36,DEM,32069
State Senate District 23,42300,Total Votes,,,78781
State Senate District 24,42400,Lee Anderson (I) (Rep),39,REP,83776
State Senate District 24,42400,Total Votes,,,83776
State Senate District 25,42500,Burt Jones (I) (Rep),35,REP,61330
State Senate District 25,42500,Veronica Brinson (Dem),36,DEM,29315
State Senate District 25,42500,Total Votes,,,90645
State Senate District 26,42600,"David E. Lucas, Sr. (I) (Dem)",40,DEM,53421
State Senate District 26,42600,Total Votes,,,53421
State Senate District 27,42700,Greg Dolezal (I) (Rep),37,REP,87192
State Senate District 27,42700,Brooke Griffiths (Dem),38,DEM,37340
State Senate District 27,42700,Total Votes,,,124532
State Senate District 28,42800,Matt Brass (I) (Rep),35,REP,82691
State Senate District 28,42800,Total Votes,,,82691
State Senate District 29,42900,Randy Robertson (I) (Rep),35,REP,70161
State Senate District 29,42900,Total Votes,,,70161
State Senate District 30,43000,Mike Dugan (I) (Rep),36,REP,58303
State Senate District 30,43000,Montenia Edwards (Dem),37,DEM,28023
State Senate District 30,43000,Total Votes,,,86326
State Senate District 31,43100,Jason Anavitarte (Rep),35,REP,66020
State Senate District 31,43100,Tianna Smith (Dem),36,DEM,27146
State Senate District 31,43100,Total Votes,,,93166
State Senate District 32,43200,Kay Kirkpatrick (I) (Rep),43,REP,63544
State Senate District 32,43200,Christine Triebsch (Dem),44,DEM,50005
State Senate District 32,43200,Total Votes,,,113549
State Senate District 33,43300,Michael Rhett (I) (Dem),45,DEM,66207
State Senate District 33,43300,Total Votes,,,66207
State Senate District 34,43400,Valencia M. Seay (I) (Dem),37,DEM,64110
State Senate District 34,43400,Total Votes,,,64110
State Senate District 35,43500,Donzella James (I) (Dem),37,DEM,82600
